Column,Row,Value
0,0,154
1,0,152
2,0,150
3,0,149
4,0,149
5,0,149
6,0,150
7,0,150
8,0,152
9,0,153
10,0,152
11,0,151
12,0,152
13,0,150
14,0,148
15,0,146
16,0,148
17,0,151
18,0,150
19,0,147
20,0,145
21,0,145
22,0,145
23,0,143
24,0,140
25,0,141
26,0,144
27,0,144
28,0,144
29,0,144
30,0,144
31,0,145
32,0,144
33,0,143
34,0,142
35,0,143
36,0,144
37,0,143
38,0,140
39,0,138
40,0,137
41,0,135
42,0,134
43,0,131
44,0,132
45,0,133
46,0,135
47,0,134
48,0,132
49,0,129
50,0,129
51,0,133
52,0,140
53,0,141
54,0,143
55,0,147
56,0,151
57,0,150
58,0,146
59,0,140
60,0,138
61,0,137
62,0,136
63,0,134
0,1,156
1,1,152
2,1,151
3,1,149
4,1,148
5,1,148
6,1,149
7,1,150
8,1,152
9,1,151
10,1,151
11,1,150
12,1,153
13,1,152
14,1,148
15,1,144
16,1,146
17,1,152
18,1,153
19,1,150
20,1,146
21,1,146
22,1,145
23,1,144
24,1,142
25,1,141
26,1,143
27,1,143
28,1,143
29,1,143
30,1,143
31,1,143
32,1,143
33,1,141
34,1,141
35,1,142
36,1,145
37,1,142
38,1,140
39,1,141
40,1,141
41,1,137
42,1,132
43,1,130
44,1,132
45,1,133
46,1,132
47,1,130
48,1,132
49,1,132
50,1,132
51,1,137
52,1,144
53,1,146
54,1,146
55,1,148
56,1,150
57,1,147
58,1,144
59,1,142
60,1,141
61,1,140
62,1,139
63,1,137
0,2,155
1,2,151
2,2,150
3,2,151
4,2,150
5,2,148
6,2,150
7,2,151
8,2,152
9,2,150
10,2,149
11,2,151
12,2,153
13,2,152
14,2,147
15,2,142
16,2,144
17,2,151
18,2,154
19,2,151
20,2,147
21,2,146
22,2,144
23,2,144
24,2,142
25,2,143
26,2,145
27,2,144
28,2,143
29,2,142
30,2,141
31,2,142
32,2,144
33,2,144
34,2,143
35,2,144
36,2,145
37,2,142
38,2,140
39,2,141
40,2,142
41,2,141
42,2,137
43,2,134
44,2,134
45,2,134
46,2,131
47,2,130
48,2,134
49,2,136
50,2,135
51,2,139
52,2,146
53,2,149
54,2,149
55,2,149
56,2,148
57,2,146
58,2,144
59,2,142
60,2,142
61,2,143
62,2,144
63,2,141
0,3,154
1,3,151
2,3,153
3,3,155
4,3,153
5,3,150
6,3,151
7,3,152
8,3,152
9,3,150
10,3,149
11,3,151
12,3,154
13,3,153
14,3,148
15,3,142
16,3,143
17,3,149
18,3,152
19,3,150
20,3,146
21,3,144
22,3,144
23,3,143
24,3,144
25,3,146
26,3,147
27,3,145
28,3,143
29,3,142
30,3,141
31,3,144
32,3,149
33,3,148
34,3,144
35,3,145
36,3,146
37,3,145
38,3,142
39,3,140
40,3,141
41,3,142
42,3,142
43,3,140
44,3,139
45,3,137
46,3,133
47,3,133
48,3,137
49,3,140
50,3,139
51,3,142
52,3,147
53,3,151
54,3,151
55,3,149
56,3,146
57,3,146
58,3,144
59,3,142
60,3,143
61,3,146
62,3,147
63,3,144
0,4,155
1,4,153
2,4,155
3,4,156
4,4,155
5,4,151
6,4,151
7,4,153
8,4,152
9,4,151
10,4,149
11,4,151
12,4,153
13,4,152
14,4,149
15,4,144
16,4,145
17,4,148
18,4,150
19,4,147
20,4,143
21,4,142
22,4,142
23,4,142
24,4,145
25,4,149
26,4,150
27,4,145
28,4,143
29,4,141
30,4,142
31,4,147
32,4,152
33,4,151
34,4,146
35,4,145
36,4,148
37,4,148
38,4,145
39,4,141
40,4,139
41,4,141
42,4,143
43,4,145
44,4,144
45,4,143
46,4,139
47,4,138
48,4,142
49,4,145
50,4,143
51,4,143
52,4,148
53,4,151
54,4,150
55,4,148
56,4,146
57,4,144
58,4,143
59,4,141
60,4,142
61,4,145
62,4,147
63,4,145
0,5,155
1,5,154
2,5,156
3,5,155
4,5,153
5,5,151
6,5,151
7,5,153
8,5,151
9,5,151
10,5,149
11,5,151
12,5,152
13,5,150
14,5,148
15,5,145
16,5,146
17,5,148
18,5,148
19,5,145
20,5,141
21,5,141
22,5,141
23,5,142
24,5,146
25,5,149
26,5,150
27,5,146
28,5,143
29,5,142
30,5,142
31,5,146
32,5,151
33,5,151
34,5,145
35,5,146
36,5,149
37,5,150
38,5,147
39,5,143
40,5,141
41,5,142
42,5,143
43,5,145
44,5,145
45,5,146
46,5,145
47,5,142
48,5,144
49,5,148
50,5,146
51,5,147
52,5,149
53,5,151
54,5,152
55,5,149
56,5,148
57,5,144
58,5,142
59,5,140
60,5,141
61,5,143
62,5,146
63,5,144
0,6,156
1,6,154
2,6,154
3,6,152
4,6,151
5,6,151
6,6,151
7,6,153
8,6,152
9,6,152
10,6,150
11,6,150
12,6,150
13,6,149
14,6,147
15,6,146
