Column,Row,Value
10,20,209
32,62,152
49,35,170
55,41,201
56,10,139
13,28,174
9,36,156
54,18,147
29,24,194
16,12,183
57,40,209
24,21,202
46,46,143
41,60,95
37,43,240
27,4,145
11,27,193
6,11,150
37,1,142
25,2,143
37,11,140
39,7,141
3,11,151
2,24,129
56,18,132
41,42,167
38,44,232
25,4,149
33,47,102
31,25,149
38,25,171
15,11,190
21,38,87
32,13,183
54,15,134
60,48,115
22,15,179
42,2,137
43,36,97
26,43,244
63,62,136
51,25,188
22,16,180
51,46,211
9,38,146
32,28,157
6,16,140
12,15,182
20,24,172
13,3,153
22,46,222
51,53,199
1,5,154
19,40,149
21,34,69
39,58,157
28,1,143
60,41,160
48,8,147
44,60,116
4,19,152
25,36,35
51,4,143
41,24,169
29,41,236
7,35,190
12,52,210
33,33,132
23,40,197
23,8,139
32,48,73
0,56,153
43,3,140
15,37,170
51,38,111
42,52,204
61,23,134
37,22,188
54,63,159
54,42,203
40,16,177
44,4,144
63,8,141
27,51,158
1,63,214
42,20,166
63,30,110
11,1,150
52,23,178
10,56,195
5,46,216
10,35,169
39,30,199
48,35,175
34,40,208
44,7,143
44,15,205
53,50,207
51,22,176
13,35,197
0,60,186
52,42,169
1,3,151
41,37,68
24,60,183
49,6,148
27,61,180
36,28,168
28,45,222
7,59,176
43,29,193
13,13,174
17,18,197
0,46,144
34,26,167
30,35,170
60,28,116
43,51,193
18,21,141
40,9,138
6,56,207
18,33,201
52,17,152
21,36,74
52,28,209
61,46,140
26,62,189
38,18,169
13,47,181
43,34,120
33,61,140
49,57,154
17,26,161
11,57,181
44,26,152
61,62,118
52,54,169
39,12,136
10,30,187
26,29,167
39,57,165
3,43,220
53,34,169
0,1,156
38,28,186
12,57,177
13,56,170
60,31,104
19,62,199
12,28,172
57,10,140
16,60,168
51,49,226
58,13,139
50,6,149
33,57,119
50,60,145
36,52,137
53,61,161
39,43,221
27,26,155
1,55,163
55,16,140
57,43,210
53,63,158
34,39,176
44,20,170
12,30,189
11,34,174
17,19,165
37,61,122
52,38,119
42,50,186
35,60,135
32,37,204
42,40,166
8,0,152
61,4,145
10,60,154
42,62,107
0,13,145
5,35,218
46,7,148
4,31,126
56,40,205
54,25,131
28,30,165
20,29,202
3,1,149
53,48,211
62,39,137
1,6,154
47,10,146
20,45,185
2,54,191
44,46,142
51,12,171
45,17,180
24,62,201
59,4,141
58,27,113
47,34,193
62,41,134
60,36,154
28,52,118
25,38,66
55,6,150
24,50,196
8,7,153
61,20,143
44,10,148
56,49,177
24,14,204
50,11,191
3,57,147
22,25,182
4,54,171
36,60,131
32,7,147
13,54,198
16,31,205
20,14,186
15,47,160
21,31,211
13,21,138
56,57,105
51,34,142
45,41,142
44,23,163
43,5,145
47,29,176
23,17,172
63,44,126
61,17,142
39,54,150
42,48,153
60,27,108
11,46,154
18,43,143
1,52,183
58,20,144
44,22,135
24,0,140
12,60,151
8,15,162
62,18,151
39,37,43
4,17,147
36,19,183
60,37,151
28,13,188
26,47,236
58,26,112
0,32,131
45,20,174
59,16,138
8,39,155
17,62,208
45,15,181
60,6,141
45,11,145
5,1,148
63,23,148
49,36,155
29,55,126
33,0,143
38,60,131
36,38,73
18,19,144
10,26,210
1,57,154
11,60,166
29,51,133
21,29,197
58,53,115
50,14,175
59,60,96
10,63,165
7,17,138
8,51,206
33,25,147
19,58,169
8,35,176
34,53,124
57,28,112
7,11,154
25,51,177
50,27,156
32,61,154
11,30,187
41,50,164
61,5,143
20,25,173
30,13,195
16,62,203
19,30,210
59,55,87
33,48,96
13,46,146
35,43,229
18,34,166
36,23,149
3,12,150
34,25,168
40,3,141
13,43,126
60,12,139
48,9,146
23,22,183
54,9,152
37,62,110
36,58,153
28,24,166
41,41,172
55,46,207
29,39,193
0,0,154
40,56,166
39,28,200
45,4,143
2,56,161
6,17,141
41,1,137
45,8,147
37,50,171
55,36,189
25,30,177
21,7,144
8,55,211
28,53,134
34,50,166
33,52,95
17,17,193
17,53,193
40,14,212
41,2,141
14,34,208
45,23,173
47,62,141
25,33,172
49,26,119
40,55,167
33,62,132
34,49,192
1,54,172
13,17,197
26,55,131
62,32,111
21,13,212
4,34,191
29,61,166
28,26,174
23,31,204
53,49,212
6,59,168
9,15,158
49,19,182
26,23,186
52,5,149
12,32,189
62,46,132
37,38,39
3,28,131
63,16,134
5,0,149
58,46,176
21,1,146
60,16,143
57,19,134
50,44,150
1,12,147
54,54,134
29,54,142
21,3,144
0,40,128
45,3,137
26,20,195
58,22,147
4,35,204
49,14,176
53,8,151
60,14,139
46,24,161
19,42,150
31,40,237
0,28,124
7,55,218
27,40,114
27,44,243
20,3,146
15,16,199
63,63,124
45,36,157
31,15,216
5,22,134
38,29,182
48,0,132
31,2,142
9,3,150
33,21,156
15,50,205
21,61,204
63,58,153
53,59,123
36,18,177
5,7,151
40,41,186
62,62,124
26,26,177
7,4,153
29,59,166
55,4,148
54,40,185
