Column,Row,Value
88,78,19
30,68,96
59,46,89
82,38,27
88,107,84
2,15,1
38,103,76
35,91,78
74,25,10
38,5,1
84,87,112
4,81,1
4,32,1
20,126,4
98,24,23
24,95,17
96,64,68
11,52,4
126,38,0
73,20,36
48,125,19
81,55,23
17,33,4
102,68,72
78,99,78
117,121,5
14,33,5
64,101,97
16,93,125
112,77,111
42,103,68
119,93,103
117,48,113
106,32,14
115,49,103
37,18,51
105,4,4
77,0,1
85,117,16
75,27,13
26,11,4
109,67,63
60,112,64
109,98,155
9,42,3
92,126,5
98,116,133
93,94,77
13,87,106
63,98,91
7,90,1
29,11,5
124,90,26
38,18,19
40,61,103
26,33,183
121,17,47
103,79,140
69,120,78
117,5,5
3,114,1
58,62,105
5,12,1
19,121,4
123,112,97
29,54,96
39,90,97
66,23,48
103,95,64
2,59,1
38,76,92
83,88,110
112,116,16
7,42,1
37,51,101
95,98,133
125,23,2
74,47,14
59,19,15
82,108,75
74,118,59
49,123,144
30,74,95
91,51,117
35,31,70
15,32,5
73,24,10
38,106,86
1,90,0
94,13,47
66,62,72
119,106,75
42,52,105
103,87,36
17,122,4
109,22,59
68,47,76
75,15,29
97,50,59
17,21,4
29,96,26
59,85,104
126,118,0
61,1,1
121,110,245
27,25,145
25,46,12
86,62,27
76,71,104
16,62,13
80,111,55
50,44,100
33,125,4
121,61,89
100,13,45
126,51,0
23,99,168
113,89,75
53,126,68
30,60,94
70,72,73
58,15,13
60,68,105
39,34,91
115,116,7
76,31,13
7,71,1
26,9,4
72,76,64
21,25,5
16,5,4
14,17,4
3,81,1
120,86,192
63,88,106
46,100,82
75,116,61
3,22,1
121,3,5
37,104,53
25,103,129
25,13,4
124,63,19
39,27,69
122,61,87
78,77,89
44,13,39
121,1,5
51,2,1
75,30,14
70,31,73
19,5,3
127,97,0
10,42,5
71,32,69
116,97,142
33,10,5
65,66,104
8,44,1
102,62,90
44,115,23
118,45,101
124,8,146
118,123,5
23,27,85
59,90,80
80,19,17
7,37,1
89,116,7
103,31,7
107,65,70
105,52,119
24,54,71
102,13,17
3,3,57
24,20,4
105,64,74
102,105,83
107,48,54
113,14,23
70,45,78
78,69,56
126,54,0
10,101,5
113,78,117
92,116,64
62,82,90
55,3,1
63,60,99
113,119,6
105,48,124
110,28,33
45,109,89
27,64,86
119,114,27
53,59,106
48,6,1
9,103,2
50,99,47
3,101,1
84,6,1
68,3,1
41,127,4
55,10,5
55,97,47
116,53,76
97,17,77
89,20,24
94,49,32
26,38,13
0,4,0
11,2,4
118,70,63
32,18,27
99,40,30
94,64,65
113,80,47
46,24,78
100,68,71
34,75,94
72,9,1
105,25,12
103,23,56
44,97,104
4,109,1
110,60,72
39,125,4
9,2,2
65,15,43
103,113,140
86,92,98
95,99,148
83,109,73
77,101,78
78,127,10
33,89,59
61,102,72
33,91,81
