번호,상품코드,상품명,분류,판매일자,지불,소비자가,판매수량,금액
1,A315007,냉장고 736ml,주방가전,41821,Cash,1480000,16,23680000
2,A421008,에어컨18CA,생활가전,41823,Cash,1240000,14,17360000
3,A43Q001,드럼세탁기,생활가전,41823,Credit,745000,21,15645000
4,A11S002,울트라북(5시리즈),노트북,41825,Cash/Credit,1433000,19,27227000
5,A321002,일반노트북,노트북,41826,Credit,1090000,13,14170000
6,A491011,선풍기,생활가전,41827,Credit,43600,84,3662400
7,A162009,게임용PC,테스크탑,41827,Credit,564000,43,24252000
8,A165014,브랜드PC,테스크탑,41827,Credit,690000,29,20010000
9,A491007,3D노트북,노트북,41828,Credit,1080000,9,9720000
10,A42Q005,스마트폰I,휴대폰,41829,Cash,970000,53,51410000
11,A124013,휴대용게임기,게임기,41831,Credit,293000,56,16408000
12,A33Q017,스마트폰G,휴대폰,41832,Credit,1020000,23,23460000
13,A421013,홈시어터,음향기기,41833,Credit,493000,32,15776000
14,A421014,전자사전,디카/MP3,41833,Cash,290000,63,18270000
15,A42Q016,DSLR,디카/MP3,41833,Credit,1129000,8,9032000
16,A165020,전기밥솥,주방가전,41834,Credit,416900,43,17926700
17,A165026,모니터,주변기기,41834,Credit,431500,20,8630000
18,A166011,울트라북,노트북,41834,Credit,1131500,27,30550500
19,A421019,스마트TV,음향기기,41834,Credit,1105000,47,51935000
20,A124012,앰프,음향기기,41835,Credit,235000,69,16215000
21,A16Q001,스마트패드,휴대폰,41835,Credit,593000,72,42696000
22,A352009,일반노트북(12inch),노트북,41835,Credit,682000,120,81840000
23,A352003,스마트폰V,휴대폰,41836,Cash,890000,62,55180000
24,A16S003,PMP,디카/MP3,41837,Cash,347000,254,88138000
25,A332022,표준모니터,주변기기,41839,Cash,217600,23,5004800
26,A431005,HD모니터,주변기기,41839,Cash/Credit,312900,109,34106100
27,A421009,노트북가방,노트북,41839,Cash,25800,55,1419000
28,A421010,조립PC,테스크탑,41839,Cash/Credit,340000,223,75820000
29,A16G005,울트라북Z360,노트북,41840,Credit,1137800,34,38685200
30,A332015,일반세탁기,생활가전,41840,Cash,414600,123,50995800
31,A431006,헤드폰,음향기기,41840,Credit,24300,163,3960900
32,A541005,브랜드PC,테스크탑,41840,Cash,530000,166,87980000
33,A171004,프린터,주변기기,41841,Credit,144000,201,28944000
34,A331015,전자레인지,주방가전,41841,Credit,119000,412,49028000
35,A171003,김치냉장고,생활가전,41842,Credit,926900,29,26880100
36,A541007,일체형PC,테스크탑,41842,Cash,1341500,21,28171500
37,A12Q002,스마트폰케이스,휴대폰,41842,Cash,12000,134,1608000
38,A33S023,삼각대,디카/MP3,41843,Credit,226400,67,15168800
39,A372009,스마트패드,휴대폰,41843,Credit,593000,46,27278000
40,A31G009,울트라북100TX,노트북,41843,Cash,731500,27,19750500
41,A231002,가정용게임기,게임기,41843,Credit,137000,134,18358000
42,A166004,로봇청소기,생활가전,41844,Credit,37000,43,1591000
43,A216002,AV액세서리,음향기기,41844,Cash,18400,450,8280000
44,A165025,PC게임,게임기,41844,Credit,41000,71,2911000
45,A352002,스마트패드악세서리,휴대폰,41844,Csah/Credit,15600,190,2964000
46,A372009,복합기,주변기기,41845,Credit,245000,143,35035000
47,A33Q021,메모리(16G),디카/MP3,41845,Cash,13000,155,2015000
48,A37S011,오븐,주방가전,41845,Cash/Credit,970000,52,50440000
49,A317019,울트라북아카데미,노트북,41845,Credit,997800,145,144681000
50,A165016,스마트패드(mini),휴대폰,41846,Cash,565500,93,52591500
51,A165022,도어락,생활가전,41846,Cash,324600,82,26617200
52,A315008,커피머신,주방가전,41846,Credit,56000,102,5712000
53,A49Q008,메모리(32G),디카/MP3,41846,Cash,21600,25,540000
54,A421001,노트북받침대,노트북,41846,Credit,38000,128,4864000
55,A33Q025,DDR3(8G),데스크탑,41846,Cash,65000,234,15210000
56,A541006,잉크/토너,주변기기,41846,Credit,87700,134,11751800
57,A511001,포터블오디오,디카/MP3,41847,Credit,71200,124,8828800
58,A116004,3DPC,테스크탑,41848,Cash,27900,12,334800
59,A42S006,커피포트,주방가전,41848,Credit,32800,70,2296000
60,A215003,울트라북(7시리즈),노트북,41848,Credit,1920000,29,55680000
61,A33G024,울트라북보급형,노트북,41848,Cash,527300,24,12655200
62,A352004,다리미,생활가전,41849,Credit,67950,16,1087200
63,A431010,쿨링패드,노트북,41849,Cash,29900,34,1016600
64,A49Q002,게임용스틱,게임기,41850,Credit,43000,17,731000
65,A331014,청소기,생활가전,41850,Credit,16000,32,512000
66,A42Q002,플래쉬,디카/MP3,41850,Credit,237000,57,13509000
67,A541008,A4용지,주변기기,41851,Cash,2400,182,436800
68,A165027,이어폰,휴대폰,41851,Credit,119300,346,41277800
69,A54Q001,믹서기,주방가전,2014-07-012,Credit,233000,137,31921000
